ID,Type of MB,Compound abbreviation,Types of contaminants,pH,Compound Mw (g/mol),Compound charge,Compound Kow,min projection (A),max projection (A),MB MWCO (Da),MB contact angle,MB zeta potential,Total charge,Pressure (kPa),Measurement time (min),Initial concentration of compound (mg/L),compound size (nm),removal rate (%),reference,MWCO ref,MB contact angle ref,MB zeta potential ref,mem_material
38,BW30,DCF,Diclofenac,5,296.15,-0.9099,4.259,4.62,6.34,100,59.8,-1,0.9099,1500,10,0.5,0.541,98.97,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
39,BW30,DCF,Diclofenac,7,296.15,-1,4.259,4.62,6.34,100,59.8,-1,1,1500,10,0.5,0.541,99.75,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
40,BW30,DCF,Diclofenac,5,296.15,-0.9099,4.259,4.62,6.34,100,59.8,-1,0.9099,2000,10,0.5,0.541,99.69,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
41,BW30,DCF,Diclofenac,7,296.15,-1,4.259,4.62,6.34,100,59.8,-1,1,2000,10,0.5,0.541,99.79,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
42,BW30,DCF,Diclofenac,5,296.15,-0.9099,4.259,4.62,6.34,100,59.8,-1,0.9099,3000,10,0.5,0.541,99.11,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
43,BW30,DCF,Diclofenac,7,296.15,-1,4.259,4.62,6.34,100,59.8,-1,1,3000,10,0.5,0.541,99.06,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
44,BW30,DPR,Dipyrone,4,333.34,-1,-0.822,4.45,6.54,100,59.8,-1,1,1000,10,0.5,0.539,99.11,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
45,BW30,DPR,Dipyrone,5,333.34,-1,-0.822,4.45,6.54,100,59.8,-1,1,1000,10,0.5,0.539,98.91,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
46,BW30,DPR,Dipyrone,7,333.34,-1,-0.822,4.45,6.54,100,59.8,-1,1,1000,10,0.5,0.539,99.11,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
47,BW30,DPR,Dipyrone,4,333.34,-1,-0.822,4.45,6.54,100,59.8,-1,1,1500,10,0.5,0.539,98.91,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
48,BW30,DPR,Dipyrone,5,333.34,-1,-0.822,4.45,6.54,100,59.8,-1,1,1500,10,0.5,0.539,98.63,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
49,BW30,DPR,Dipyrone,7,333.34,-1,-0.822,4.45,6.54,100,59.8,-1,1,1500,10,0.5,0.539,98.96,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
50,BW30,DPR,Dipyrone,4,333.34,-1,-0.822,4.45,6.54,100,59.8,-1,1,2000,10,0.5,0.539,99.1,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
51,BW30,DPR,Dipyrone,5,333.34,-1,-0.822,4.45,6.54,100,59.8,-1,1,2000,10,0.5,0.539,98.88,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
52,BW30,DPR,Dipyrone,7,333.34,-1,-0.822,4.45,6.54,100,59.8,-1,1,2000,10,0.5,0.539,99.02,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
53,BW30,DPR,Dipyrone,4,333.34,-1,-0.822,4.45,6.54,100,59.8,-1,1,3000,10,0.5,0.539,99.01,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
54,BW30,DPR,Dipyrone,5,333.34,-1,-0.822,4.45,6.54,100,59.8,-1,1,3000,10,0.5,0.539,98.88,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
55,BW30,DPR,Dipyrone,7,333.34,-1,-0.822,4.45,6.54,100,59.8,-1,1,3000,10,0.5,0.539,99.01,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
56,BW30,IBP,Ibuprofen,4,206.285,-0.1233,3.844,3.78,6.59,100,59.8,-1,0.1233,1000,10,0.5,0.499,99.31,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
57,BW30,IBP,Ibuprofen,5,206.285,-0.5844,3.844,3.78,6.59,100,59.8,-1,0.5844,1000,10,0.5,0.499,99.31,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
58,BW30,IBP,Ibuprofen,7,206.285,-0.9929,3.844,3.78,6.59,100,59.8,-1,0.9929,1000,10,0.5,0.499,99.11,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
59,BW30,IBP,Ibuprofen,4,206.285,-0.1233,3.844,3.78,6.59,100,59.8,-1,0.1233,1500,10,0.5,0.499,100,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
60,BW30,IBP,Ibuprofen,5,206.285,-0.5844,3.844,3.78,6.59,100,59.8,-1,0.5844,1500,10,0.5,0.499,99.98,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
61,BW30,IBP,Ibuprofen,7,206.285,-0.9929,3.844,3.78,6.59,100,59.8,-1,0.9929,1500,10,0.5,0.499,100,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
62,BW30,IBP,Ibuprofen,4,206.285,-0.1233,3.844,3.78,6.59,100,59.8,-1,0.1233,2000,10,0.5,0.499,99.24,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
63,BW30,IBP,Ibuprofen,5,206.285,-0.5844,3.844,3.78,6.59,100,59.8,-1,0.5844,2000,10,0.5,0.499,99.15,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
64,BW30,IBP,Ibuprofen,7,206.285,-0.9929,3.844,3.78,6.59,100,59.8,-1,0.9929,2000,10,0.5,0.499,99.11,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
65,BW30,IBP,Ibuprofen,4,206.285,-0.1233,3.844,3.78,6.59,100,59.8,-1,0.1233,3000,10,0.5,0.499,99.21,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
66,BW30,IBP,Ibuprofen,5,206.285,-0.5844,3.844,3.78,6.59,100,59.8,-1,0.5844,3000,10,0.5,0.499,99.25,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
67,BW30,IBP,Ibuprofen,7,206.285,-0.9929,3.844,3.78,6.59,100,59.8,-1,0.9929,3000,10,0.5,0.499,99.16,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
68,BW30,NDEA,N-Nitrosodiethylamine,5.6,102.137,0,0.752,3.4,4.54,100,76,0,0,1550,10,0.2,0.393,95.58,"Evaluating the impacts of membrane type, coating, fouling, chemical properties and water chemistry on reverse osmosis rejection of seven nitrosoalklyamines, including NDMA",Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,Comparison of flux behavior and synthetic organic compound removal by forward osmosis and reverse osmosis membranes ,Use of Reverse Osmosis Membranes to Remove Perfluorooctane Sulfonate (PFOS) from Semiconductor Wastewater,PA
69,BW30,NDMA,N-nitrosodimethylamine,5.6,74.083,0.0083,0.039,3,3.49,100,76,0,0,1550,10,0.2,0.324,60.51,"Evaluating the impacts of membrane type, coating, fouling, chemical properties and water chemistry on reverse osmosis rejection of seven nitrosoalklyamines, including NDMA",Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,Comparison of flux behavior and synthetic organic compound removal by forward osmosis and reverse osmosis membranes ,Use of Reverse Osmosis Membranes to Remove Perfluorooctane Sulfonate (PFOS) from Semiconductor Wastewater,PA
70,BW30,NMEA,N-Nitrosomethylethylamine,5.6,88.11,0.0208,0.062,2.71,4.77,100,76,0,0,1550,10,0.2,0.36,85.09,"Evaluating the impacts of membrane type, coating, fouling, chemical properties and water chemistry on reverse osmosis rejection of seven nitrosoalklyamines, including NDMA",Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,Comparison of flux behavior and synthetic organic compound removal by forward osmosis and reverse osmosis membranes ,Use of Reverse Osmosis Membranes to Remove Perfluorooctane Sulfonate (PFOS) from Semiconductor Wastewater,PA
71,BW30,NPYR,N-Nitrosopyrrolidine,5.6,100.121,0,0.444,3.25,3.96,100,76,0,0,1550,10,0.2,0.359,93.38,"Evaluating the impacts of membrane type, coating, fouling, chemical properties and water chemistry on reverse osmosis rejection of seven nitrosoalklyamines, including NDMA",Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,Comparison of flux behavior and synthetic organic compound removal by forward osmosis and reverse osmosis membranes ,Use of Reverse Osmosis Membranes to Remove Perfluorooctane Sulfonate (PFOS) from Semiconductor Wastewater,PA
72,BW30,PFOS,perfluorooctane sulfonate,4,499.12,-1,5.43,4.04,6.89,100,76,1,-1,1379,164.1,10,0.528,99.82,Effect of Flux (Transmembrane Pressure) and Membrane Properties on Fouling and Rejection of Reverse Osmosis and Nanofiltration Membranes Treating Perfluorooctane Sulfonate Containing Wastewater,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,Comparison of flux behavior and synthetic organic compound removal by forward osmosis and reverse osmosis membranes ,,PA
73,BW30,PFOS,perfluorooctane sulfonate,4,499.12,-1,5.43,4.04,6.89,100,76,1,-1,1379,455.32,10,0.528,99.73,Effect of Flux (Transmembrane Pressure) and Membrane Properties on Fouling and Rejection of Reverse Osmosis and Nanofiltration Membranes Treating Perfluorooctane Sulfonate Containing Wastewater,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,Comparison of flux behavior and synthetic organic compound removal by forward osmosis and reverse osmosis membranes ,,PA
74,BW30,PFOS,perfluorooctane sulfonate,4,499.12,-1,5.43,4.04,6.89,100,76,1,-1,1379,1484.66,10,0.528,99.77,Effect of Flux (Transmembrane Pressure) and Membrane Properties on Fouling and Rejection of Reverse Osmosis and Nanofiltration Membranes Treating Perfluorooctane Sulfonate Containing Wastewater,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,Comparison of flux behavior and synthetic organic compound removal by forward osmosis and reverse osmosis membranes ,,PA
75,BW30,PFOS,perfluorooctane sulfonate,4,499.12,-1,5.43,4.04,6.89,100,76,1,-1,1379,5633.1,10,0.528,99.89,Effect of Flux (Transmembrane Pressure) and Membrane Properties on Fouling and Rejection of Reverse Osmosis and Nanofiltration Membranes Treating Perfluorooctane Sulfonate Containing Wastewater,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,Comparison of flux behavior and synthetic organic compound removal by forward osmosis and reverse osmosis membranes ,,PA
76,BW30,PHN,Phenol,7,94.113,0,1.67,3.4,3.96,100,76,-1,0,2000,10,0.47057,0.367,69.46,Comparison of flux behavior and synthetic organic compound removal by forward osmosis and reverse osmosis membranes,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,Use of Reverse Osmosis Membranes to Remove Perfluorooctane Sulfonate (PFOS) from Semiconductor Wastewater,PA
